time_ms,force_N,velocity_m_s,temperature_C
0,0.45,0.18,37.0
1,0.451010101010101,0.1804040404040404,37.0
2,0.45202020202020204,0.1808080808080808,37.0
3,0.45303030303030306,0.1812121212121212,37.0
4,0.4540404040404041,0.18161616161616162,37.0
5,0.45505050505050504,0.18202020202020203,37.0
6,0.45606060606060606,0.1824242424242424,37.0
7,0.45707070707070707,0.1828282828282828,37.0
8,0.4580808080808081,0.18323232323232322,37.0
9,0.4590909090909091,0.18363636363636363,37.0
10,0.4601010101010101,0.18404040404040403,37.0
11,0.46111111111111114,0.18444444444444444,37.0
12,0.46212121212121215,0.18484848484848485,37.0
13,0.46313131313131317,0.18525252525252525,37.0
14,0.46414141414141413,0.18565656565656566,37.0
15,0.46515151515151515,0.18606060606060607,37.0
16,0.46616161616161617,0.18646464646464647,37.0
17,0.4671717171717172,0.18686868686868685,37.0
18,0.4681818181818182,0.18727272727272726,37.0
19,0.4691919191919192,0.18767676767676766,37.0
20,0.47020202020202023,0.18808080808080807,37.0
21,0.47121212121212125,0.18848484848484848,37.0
22,0.47222222222222227,0.18888888888888888,37.0
23,0.4732323232323232,0.1892929292929293,37.0
24,0.47424242424242424,0.1896969696969697,37.0
25,0.47525252525252526,0.1901010101010101,37.0
26,0.4762626262626263,0.1905050505050505,37.0
27,0.4772727272727273,0.19090909090909092,37.0
28,0.4782828282828283,0.1913131313131313,37.0
29,0.4792929292929293,0.1917171717171717,37.0
30,0.48030303030303034,0.1921212121212121,37.0
31,0.48131313131313136,0.19252525252525252,37.0
32,0.4823232323232324,0.19292929292929292,37.0
33,0.48333333333333334,0.19333333333333333,37.0
34,0.48434343434343435,0.19373737373737374,37.0
35,0.48535353535353537,0.19414141414141414,37.0
36,0.4863636363636364,0.19454545454545455,37.0
37,0.4873737373737374,0.19494949494949496,37.0
38,0.4883838383838384,0.19535353535353533,37.0
39,0.48939393939393944,0.19575757575757574,37.0
40,0.49040404040404045,0.19616161616161615,37.0
41,0.4914141414141414,0.19656565656565655,37.0
42,0.49242424242424243,0.19696969696969696,37.0
43,0.49343434343434345,0.19737373737373737,37.0
44,0.49444444444444446,0.19777777777777777,37.0
45,0.4954545454545455,0.19818181818181818,37.0
46,0.4964646464646465,0.1985858585858586,37.0
47,0.4974747474747475,0.198989898989899,37.0
48,0.49848484848484853,0.1993939393939394,37.0
49,0.49949494949494955,0.1997979797979798,37.0
50,0.5005050505050506,0.2002020202020202,37.0
51,0.5015151515151516,0.2006060606060606,37.0
52,0.5025252525252526,0.201010101010101,37.0
53,0.5035353535353536,0.2014141414141414,37.0
54,0.5045454545454546,0.2018181818181818,37.0
55,0.5055555555555555,0.20222222222222222,37.0
56,0.5065656565656566,0.20262626262626263,37.0
57,0.5075757575757576,0.20303030303030303,37.0
58,0.5085858585858586,0.20343434343434344,37.0
59,0.5095959595959596,0.20383838383838385,37.0
60,0.5106060606060606,0.20424242424242423,37.0
61,0.5116161616161616,0.20464646464646463,37.0
62,0.5126262626262627,0.20505050505050504,37.0
63,0.5136363636363637,0.20545454545454545,37.0
64,0.5146464646464647,0.20585858585858585,37.0
65,0.5156565656565657,0.20626262626262626,37.0
66,0.5166666666666667,0.20666666666666667,37.0
67,0.5176767676767677,0.20707070707070707,37.0
68,0.5186868686868688,0.20747474747474748,37.0
69,0.5196969696969698,0.20787878787878789,37.0
70,0.5207070707070708,0.2082828282828283,37.0
71,0.5217171717171718,0.2086868686868687,37.0
72,0.5227272727272727,0.20909090909090908,37.0
73,0.5237373737373738,0.20949494949494948,37.0
74,0.5247474747474747,0.2098989898989899,37.0
75,0.5257575757575758,0.2103030303030303,37.0
76,0.5267676767676768,0.2107070707070707,37.0
77,0.5277777777777778,0.2111111111111111,37.0
78,0.5287878787878788,0.21151515151515152,37.0
79,0.5297979797979798,0.21191919191919192,37.0
80,0.5308080808080808,0.21232323232323233,37.0
81,0.5318181818181819,0.2127272727272727,37.0
82,0.5328282828282829,0.21313131313131312,37.0
83,0.5338383838383839,0.21353535353535352,37.0
84,0.5348484848484849,0.21393939393939393,37.0
85,0.5358585858585859,0.21434343434343434,37.0
86,0.5368686868686869,0.21474747474747474,37.0
87,0.537878787878788,0.21515151515151515,37.0
88,0.538888888888889,0.21555555555555556,37.0
89,0.53989898989899,0.21595959595959596,37.0
90,0.540909090909091,0.21636363636363637,37.0
91,0.5419191919191919,0.21676767676767678,37.0
92,0.542929292929293,0.21717171717171718,37.0
93,0.543939393939394,0.2175757575757576,37.0
94,0.544949494949495,0.21797979797979797,37.0
95,0.545959595959596,0.21838383838383837,37.0
96,0.546969696969697,0.21878787878787878,37.0
97,0.547979797979798,0.2191919191919192,37.0
98,0.548989898989899,0.2195959595959596,37.0
99,0.55,0.22,37.0
